#RA DEC ID
83.80796306 -5.37495889 588
83.80820000 -5.37549306 589
83.80796000 -5.37659000 590
83.80808000 -5.37708000 591
83.80804500 -5.38891500 592
83.80822889 -5.40271806 593
83.80812611 -5.45024000 594
83.80855611 -5.31348889 595
83.80858389 -5.33109389 596
83.80856389 -5.33681889 597
83.80868194 -5.37283611 598
83.80871500 -5.37678694 599
83.80861000 -5.38714000 600
83.80858000 -5.39400694 601
83.80837694 -5.40777389 602
83.80858500 -5.42236111 603
83.80855806 -5.43057889 604
83.80867111 -5.44329889 605
83.80902000 -5.39917000 606
83.80913111 -5.43912000 607
83.80887694 -5.45293889 608
83.80925694 -5.24106111 609
83.80939611 -5.30120000 610
83.80927389 -5.33449694 611
83.80920000 -5.36524389 612
83.80956611 -5.38449389 613
83.80919694 -5.40228889 614
83.80951611 -5.40686889 615
83.80929611 -5.43690611 616
83.80921806 -5.47879389 617
83.80963000 -5.22799000 618
83.80962806 -5.36788889 619
83.80983111 -5.37574611 620
83.80986500 -5.37665889 621
83.80986806 -5.38167889 622
83.80966306 -5.38562611 623
83.80972500 -5.38815111 624
83.81031611 -5.29043306 625
83.81020306 -5.30686500 626
83.81005000 -5.37510000 627
83.81000000 -5.38213000 628
83.81003000 -5.38971611 629
83.81001306 -5.39266111 630
83.81002389 -5.39749500 631
83.81000500 -5.40284806 632
83.81026111 -5.41727389 633
83.81039000 -5.42828000 634
83.81024694 -5.54627194 635
83.81049000 -5.33237000 636
83.81055306 -5.36850194 637
83.81043500 -5.37740500 638
83.81060694 -5.38775611 639
83.81078194 -5.40221306 640
83.81051111 -5.44181694 641
83.81048111 -5.48426889 642
83.81088000 -5.23361000 643
83.81108889 -5.34510694 644
83.81120306 -5.36375806 645
83.81112611 -5.36976111 646
83.81109306 -5.37602889 647
83.81113111 -5.38383111 648
83.81107694 -5.39130889 649
83.81131889 -5.27957194 650
83.81125000 -5.33800611 651
83.81150389 -5.34135500 652
83.81133611 -5.35172306 653
83.81138194 -5.37492306 654
83.81152111 -5.37727806 655
83.81125194 -5.38037389 656
83.81137000 -5.38968000 657
83.81131694 -5.40346889 658
83.81150611 -5.57133306 659
83.81178306 -5.37306889 660
83.81208111 -5.37371500 661
83.81197306 -5.37543000 662
83.81199306 -5.38472500 663
83.81182500 -5.38775611 664
83.81179389 -5.39619806 665
83.81175000 -5.40189389 666
83.81208000 -5.40326000 667
83.81248500 -5.36663194 668
83.81218000 -5.37754389 669
83.81225889 -5.39137000 670
83.81232000 -5.39420694 671
83.81222000 -5.40357000 672
83.81241306 -5.40478889 673
83.81245000 -5.41365000 674
83.81240694 -5.45953194 675
83.81270306 -5.27761389 676
83.81289889 -5.37540194 677
